"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Dec-2023","EQ","73.48","73.64","73.09","73.09","73.55","73.29","73.34","73.64","36.00","4,84,880","3,55,62,168.06","4,129"
"27-Dec-2023","EQ","72.65","73.49","72.65","72.64","73.05","73.09","73.15","73.49","36.00","5,95,878","4,35,87,745.72","3,947"
"26-Dec-2023","EQ","73.06","73.06","72.50","72.50","72.65","72.64","72.71","73.06","36.00","9,80,862","7,13,15,274.29","4,819"
"22-Dec-2023","EQ","72.99","72.99","72.18","72.18","72.60","72.50","72.60","72.99","36.00","3,63,475","2,63,87,551.92","3,258"
"21-Dec-2023","EQ","72.04","72.36","70.76","72.04","72.35","72.18","71.69","72.97","36.00","3,87,479","2,77,78,735.87","5,118"
"20-Dec-2023","EQ","72.16","72.97","71.17","72.17","71.38","72.04","72.28","72.97","36.00","6,97,283","5,03,98,301.06","5,764"
"19-Dec-2023","EQ","72.00","72.74","71.83","71.45","72.13","72.17","72.09","72.74","36.00","4,37,628","3,15,46,661.24","3,832"
"18-Dec-2023","EQ","71.50","71.65","71.27","71.15","71.45","71.45","71.43","71.65","36.00","5,53,371","3,95,25,531.84","4,082"
"15-Dec-2023","EQ","71.18","71.57","70.94","71.17","71.25","71.15","71.25","71.57","36.00","4,98,930","3,55,48,898.02","4,608"
"14-Dec-2023","EQ","69.99","71.30","69.99","69.72","71.30","71.17","70.73","71.30","36.00","9,14,139","6,46,58,790.25","4,953"
"13-Dec-2023","EQ","69.50","69.80","69.50","69.05","69.75","69.72","69.69","71.00","36.00","5,09,914","3,55,37,750.08","3,493"
"12-Dec-2023","EQ","69.01","69.48","69.00","69.01","69.00","69.05","69.15","71.00","36.00","3,50,477","2,42,34,590.97","3,131"
"11-Dec-2023","EQ","69.00","69.49","68.05","68.51","69.06","69.01","69.08","71.00","36.00","6,46,121","4,46,33,036.01","4,313"
"08-Dec-2023","EQ","69.00","69.00","68.00","67.47","68.50","68.51","68.49","71.00","35.20","3,82,663","2,62,10,338.02","3,555"
"07-Dec-2023","EQ","68.24","68.24","67.26","68.24","67.84","67.47","67.60","71.00","35.20","6,38,059","4,31,33,751.83","5,836"
"06-Dec-2023","EQ","69.40","70.11","67.56","67.37","68.20","68.24","68.26","71.00","35.20","5,16,820","3,52,78,109.61","3,815"
"05-Dec-2023","EQ","68.66","68.67","67.10","68.26","67.82","67.37","67.57","71.00","35.20","9,68,335","6,54,31,338.36","7,519"
"04-Dec-2023","EQ","70.59","70.59","68.02","68.64","68.55","68.26","68.46","71.00","35.20","8,32,117","5,69,67,430.75","6,194"
